2026-07-13 22:50:39,243 | 0x700 | Body ECU | [1]
2026-07-13 22:50:39,243 | 0x700 | Cluster ECU | [1]
2026-07-13 22:50:44,222 | 0x700 | Engine ECU | [1]
2026-07-13 22:50:44,222 | 0x700 | Gateway ECU | [1]
2026-07-13 22:50:44,244 | 0x700 | Cluster ECU | [1]
2026-07-13 22:50:44,245 | 0x700 | Body ECU | [1]
2026-07-13 22:50:49,224 | 0x700 | Engine ECU | [1]
2026-07-13 22:50:49,224 | 0x700 | Gateway ECU | [1]
2026-07-13 22:50:49,246 | 0x700 | Cluster ECU | [1]
2026-07-13 22:50:49,246 | 0x700 | Body ECU | [1]
2026-07-13 22:50:54,225 | 0x700 | Engine ECU | [1]
2026-07-13 22:50:54,226 | 0x700 | Gateway ECU | [1]
2026-07-13 22:50:54,247 | 0x700 | Cluster ECU | [1]
2026-07-13 22:50:54,248 | 0x700 | Body ECU | [1]
